avg,elo,ff,loss
1040818,1083,312,460
1041022,1308,81,145
1041160,1112,3,9
1041806,1112,8,14
1041848,1425,53,123
1043379,959,136,152
1043937,1463,49,121
1043958,1136,4,7
1043984,1142,103,141
1044121,1064,43,52
1044249,993,14,21
1045017,1117,24,31
1045376,1145,3,4
1045377,1210,1,8
1045718,1215,25,53
1045867,1181,12,30
1046506,1174,47,216
1046519,1231,5,18
1046784,819,22,22
1046797,1178,92,140
1047548,1316,52,164
1047883,1149,5,7
1048263,1072,8,8
1048411,1093,7,10
1048806,1153,5,20
1048858,1340,65,83
1048940,1238,42,54
1051010,1254,44,62
1051179,1084,83,126
1051429,1304,26,90
1052459,1133,19,36
1053153,1234,20,30
1053907,1344,35,55
1054068,1204,42,153
1054660,1157,5,13
1054691,1312,5,5
1054853,1275,12,22
1054894,1085,82,87
1055001,1267,5,8
1055033,1018,12,28
1055061,1061,4,7
1055282,993,224,240
1055438,1164,3,27
1055718,1123,24,36
1056299,1062,185,316
1057300,1010,142,152
1057864,1256,34,92
1058322,1037,9,14
1058373,1236,4,6
1058971,1167,75,86
1059272,1131,19,22
1059934,1102,2,5
1060100,1201,138,224
1060174,1269,57,85
1060558,705,90,96
1060673,1010,13,19
1060826,785,26,28
1061329,1053,8,9
1061412,1154,7,13
1061431,1330,326,492
1061565,1356,24,46
1061991,928,16,20
1062000,1216,1,5
1062699,1131,80,94
1062946,1195,32,82
1063188,1108,180,250
1064182,1146,8,9
1064642,1115,33,50
1065658,953,227,232
1065892,1175,27,54
1066088,1257,150,182
1066332,1111,30,35
1066474,1204,58,65
1067210,1058,71,79
1067286,1277,51,73
1067894,1191,4,12
1067940,1209,1,18
1069063,1349,3,14
1069252,1216,34,66
1069693,1350,8,39
1070162,1114,9,19
1070348,1251,18,33
1070547,1110,2,7
1070559,1377,460,630
1070613,1177,26,43
1070993,1195,121,165
1071324,1271,58,77
1072482,1233,23,30
1072950,1081,31,38
1073365,958,47,59
1073752,839,58,62
1074339,969,4,5
1074550,1262,27,51
1075240,1267,14,42
1075278,1132,10,23
1075300,1169,150,262
1076349,1195,312,382
1076436,1397,0,4
1076602,1308,3,9
1076811,1371,1,4
1077156,1230,5,14
1077712,905,5,7
1077971,1135,22,25
1077980,1192,1,2
1078152,1233,4,7
1079138,1060,17,21
1079428,1042,8,13
1079985,1310,45,74
1080275,1292,2,3
1080742,825,5,5
1080987,1042,17,19
1082428,1281,39,123
1082532,1156,156,304
1082802,1013,14,19
1083022,1352,105,501
1083291,1052,3,5
1083384,1079,7,13
1083518,1240,1,6
1083563,1111,142,184
1083635,1029,62,67
1083852,1024,17,20
1083856,1206,13,24
1084407,1240,16,24
1084762,1285,40,208
1085029,992,13,16
1086351,1211,6,19
1086501,794,12,12
1086694,1135,15,25
1086725,917,135,148
1087102,1161,9,12
1087367,1227,307,476
1087989,1206,354,406
1088286,1270,8,16
1088682,645,8,8
1089336,1221,4,6
1089478,1236,3,4
1090740,1288,2,6
1091675,1128,28,51
1091980,1285,1,5
1092170,1346,151,188
1092464,1130,15,28
1092885,1218,96,158
1093087,1191,1,3
1093166,972,53,56
1093266,1272,48,70
1093934,865,41,42
1094446,1222,4,9
1095108,1184,1,3
1095683,981,41,55
1096228,1000,27,31
1097001,1173,122,141
1097181,1372,8,18
1097692,1288,4,7
1097709,1183,29,51
1098043,1040,159,191
1098403,1129,5,8
1099213,969,23,25
1099355,1144,4,6
1099398,1124,4,7
1099558,1259,72,117
1099777,1345,4,7
1099779,1254,11,18
1099890,1123,99,133
1100639,1215,3,11
1101287,1048,5,9
1102093,1141,43,56
1102437,1284,0,1
1103081,1223,492,616
1103285,1060,34,44
1103399,1143,88,191
1103436,1111,1,4
1103569,1198,101,135
1103701,157,440,531
1104280,1223,93,105
1104391,1082,7,9
1105174,1174,5,6
1105836,1113,52,68
1106044,1090,14,17
1106161,1204,2,18
1106802,1184,159,206
1108055,1123,17,22
1108681,1125,107,143
1109135,1301,10,32
1110877,1319,5,16
1111073,954,18,23
1111367,1114,26,30
1112080,1358,34,242
