date,time,elo,bastion,ow
1680456678,858667,1395,,RUINED_PORTAL
1680456696,1146357,1301,,BURIED_TREASURE
1680456736,828521,1155,,VILLAGE
1680456789,672191,1061,,RUINED_PORTAL
1680457107,738241,1110,,SHIPWRECK
1680457214,951469,1050,,SHIPWRECK
1680457229,1143607,1067,,VILLAGE
1680457388,1051395,1276,,SHIPWRECK
1680457429,888407,1359,,VILLAGE
1680457595,1518167,,,SHIPWRECK
1680457616,835804,1395,,SHIPWRECK
1680457698,950025,,,DESERT_TEMPLE
1680457740,1404146,1121,,VILLAGE
1680457754,986783,1312,,BURIED_TREASURE
1680458365,892618,1049,,VILLAGE
1680458417,1533455,909,,VILLAGE
1680458578,1107432,1160,,SHIPWRECK
1680486082,930975,1356,,BURIED_TREASURE
1680486196,761817,1244,,VILLAGE
1680486232,1286406,1089,,SHIPWRECK
1680486664,1002255,1074,,SHIPWRECK
1680487365,655575,1095,,SHIPWRECK
1680487369,853290,1371,,BURIED_TREASURE
1680487423,837697,1204,,VILLAGE
1680487436,1076469,1134,,RUINED_PORTAL
1680487444,727153,1662,,VILLAGE
1680487464,724895,1586,,SHIPWRECK
1680487895,1651755,979,,VILLAGE
1680488079,1265266,1008,,VILLAGE
1680488180,911917,1351,,BURIED_TREASURE
1680488215,956351,,,VILLAGE
1680488253,803357,1118,,SHIPWRECK
1680488446,956128,1222,,VILLAGE
1680488487,920633,1129,,VILLAGE
1680488521,1097670,1154,,RUINED_PORTAL
1680488596,1131013,1297,,SHIPWRECK
1680488674,831923,1409,,BURIED_TREASURE
1680488958,705510,1674,,SHIPWRECK
1680488992,861299,1404,,BURIED_TREASURE
1680489018,909278,1071,,DESERT_TEMPLE
1680489319,783462,1374,,DESERT_TEMPLE
1680489331,958934,1134,,SHIPWRECK
1680489337,1074390,1374,,VILLAGE
1680489681,1107827,1240,,SHIPWRECK
1680489777,811236,1430,,SHIPWRECK
1680489957,1055073,,,DESERT_TEMPLE
1680490163,773508,1570,,SHIPWRECK
1680490416,828800,839,,RUINED_PORTAL
1680490738,931499,1317,,DESERT_TEMPLE
1680538422,1092767,1232,,VILLAGE
1680538478,990306,1293,,SHIPWRECK
1680538542,846844,1328,,SHIPWRECK
1680538682,856325,1473,,BURIED_TREASURE
1680539013,780556,1488,,BURIED_TREASURE
1680539076,894254,1251,,SHIPWRECK
1680539077,1100664,1259,,RUINED_PORTAL
1680539583,723306,1436,,RUINED_PORTAL
1680539609,1086333,1390,,SHIPWRECK
1680539683,893796,1127,,DESERT_TEMPLE
1680539758,647245,1417,,BURIED_TREASURE
1680539923,1436065,,,SHIPWRECK
1680540045,1220409,1280,,SHIPWRECK
1680540160,1028842,1506,,BURIED_TREASURE
1680540193,1367962,1027,,SHIPWRECK
1680540215,1122197,1071,,SHIPWRECK
1680540356,1037922,1136,,VILLAGE
1680540761,1639354,1272,,BURIED_TREASURE
1680540782,978802,1235,,VILLAGE
1680541162,1151303,1263,,SHIPWRECK
1680541191,965858,1292,,SHIPWRECK
1680541383,1371074,,,SHIPWRECK
1680541581,1369664,1324,,VILLAGE
1680541810,1038587,1090,,SHIPWRECK
1680567612,1048451,1285,,BURIED_TREASURE
1680567620,996766,1167,,RUINED_PORTAL
1680567814,1251411,1324,,SHIPWRECK
1680567904,748739,1446,,BURIED_TREASURE
1680567945,1334116,883,,VILLAGE
1680568147,1011007,1285,,SHIPWRECK
1680568232,938158,,,VILLAGE
1680568311,1485637,1179,,VILLAGE
1680568578,1269646,1255,,RUINED_PORTAL
1680568888,770347,1461,,SHIPWRECK
1680569184,989884,,,SHIPWRECK
1680569327,1311307,1207,,BURIED_TREASURE
1680569839,1862261,844,,SHIPWRECK
1680569919,832046,1274,,VILLAGE
1680569956,755935,1255,,RUINED_PORTAL
1680569959,883192,1302,,SHIPWRECK
1680570357,1651982,1089,,DESERT_TEMPLE
1680570384,1082682,,,BURIED_TREASURE
1680570450,972358,1195,,DESERT_TEMPLE
1680570932,925287,1442,,SHIPWRECK
1680570995,900229,1303,,VILLAGE
1680571188,898196,1233,,VILLAGE
1680571271,1011617,1320,,SHIPWRECK
1680571359,771898,1279,,SHIPWRECK
1680571997,1274002,1219,,SHIPWRECK
1680572248,947986,1296,,SHIPWRECK
1680572369,954643,1298,,RUINED_PORTAL
1680615654,1563898,1017,,RUINED_PORTAL
1680615926,1114961,1226,,BURIED_TREASURE
1680616050,881631,1153,,SHIPWRECK
1680616312,1308341,955,,SHIPWRECK
1680616525,1189330,1096,,VILLAGE
1680616611,1043556,1475,,SHIPWRECK
1680616714,709808,1465,,DESERT_TEMPLE
1680616829,855159,1382,,BURIED_TREASURE
1680616904,1135916,1181,,VILLAGE
1680616910,1313125,,,VILLAGE
1680616978,1071236,1345,,BURIED_TREASURE
1680617186,1142652,1062,,VILLAGE
1680617396,1142560,1177,,VILLAGE
